answer,seed,strategy,scenario,gold_threshold,long_word_scoring_policy,hexalink_bonus,row_bonus,column_bonus,require_hexalink,require_exactly_six_turns,vocabulary_tier,available_words,gold_reachable,gold_without_hexalink,gold_with_hexalink_required,minimum_gold_turns,solver_relevant_moves,legal_words,analysis_ms,exact
WATERMELON,710001,PREBUILT_COMPACT,COMBO_2_T120_LONG15_HEX20,120,15/15,20,10,20,false,false,ALL_QJYNN,41814,true,true,true,3,114,1114,18.618,true
WATERMELON,710001,PREBUILT_COMPACT,COMBO_3_T120_REQUIRE_HEX,120,canonical/canonical,10,10,20,true,false,ALL_QJYNN,41814,true,false,true,3,114,1114,20.215,true
WATERMELON,710001,PREBUILT_COMPACT,COMBO_4_T130_REQUIRE_HEX_HEX20,130,canonical/canonical,20,10,20,true,false,ALL_QJYNN,41814,true,false,true,3,114,1114,21.217,true
WATERMELON,710001,PREBUILT_COMPACT,COMBO_5_T120_LINE_REDUCED,120,canonical/canonical,10,5,10,false,false,ALL_QJYNN,41814,true,true,true,4,114,1114,41.323,true
WATERMELON,710001,PREBUILT_COMPACT,VOCAB_ALL,100,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,114,1114,13.963,true
WATERMELON,710001,PREBUILT_COMPACT,VOCAB_TOP_30000,100,canonical/canonical,10,10,20,false,false,TOP_30000,28477,true,true,false,2,104,952,11.551,true
WATERMELON,710001,PREBUILT_COMPACT,VOCAB_TOP_20000,100,canonical/canonical,10,10,20,false,false,TOP_20000,18944,true,true,false,2,98,722,8.707,true
WATERMELON,710001,PREBUILT_COMPACT,VOCAB_TOP_15000,100,canonical/canonical,10,10,20,false,false,TOP_15000,14251,true,true,false,2,84,528,6.272,true
WATERMELON,710001,PREBUILT_COMPACT,VOCAB_TOP_10000,100,canonical/canonical,10,10,20,false,false,TOP_10000,9487,true,true,false,3,65,342,9.442,true
WATERMELON,710001,PREBUILT_COMPACT,VOCAB_TOP_5000,100,canonical/canonical,10,10,20,false,false,TOP_5000,4862,true,true,false,3,56,232,8.387,true
OSCILLATED,710002,PREBUILT_COMPACT,CANONICAL_BASELINE,100,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,20.122,true
OSCILLATED,710002,PREBUILT_COMPACT,GOLD_100,100,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,18.386,true
OSCILLATED,710002,PREBUILT_COMPACT,GOLD_110,110,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,17.791,true
OSCILLATED,710002,PREBUILT_COMPACT,GOLD_120,120,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,22.087,true
OSCILLATED,710002,PREBUILT_COMPACT,GOLD_130,130,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,20.152,true
OSCILLATED,710002,PREBUILT_COMPACT,GOLD_140,140,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,3,184,1409,28.947,true
OSCILLATED,710002,PREBUILT_COMPACT,GOLD_150,150,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,3,184,1409,26.1,true
OSCILLATED,710002,PREBUILT_COMPACT,LONG_A_CANONICAL,100,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,13.978,true
OSCILLATED,710002,PREBUILT_COMPACT,LONG_B_12_15,100,12/15,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,15.265,true
OSCILLATED,710002,PREBUILT_COMPACT,LONG_C_15_ALL_LONG,100,15/15,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,14.272,true
OSCILLATED,710002,PREBUILT_COMPACT,LONG_D_12_ALL_LONG,100,12/12,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,18.523,true
OSCILLATED,710002,PREBUILT_COMPACT,HEX_BONUS_0,100,canonical/canonical,0,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,140.761,true
OSCILLATED,710002,PREBUILT_COMPACT,HEX_BONUS_10,100,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,30.614,true
OSCILLATED,710002,PREBUILT_COMPACT,HEX_BONUS_15,100,canonical/canonical,15,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,36.657,true
OSCILLATED,710002,PREBUILT_COMPACT,HEX_BONUS_20,100,canonical/canonical,20,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,27.14,true
OSCILLATED,710002,PREBUILT_COMPACT,HEX_BONUS_25,100,canonical/canonical,25,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,74.468,true
OSCILLATED,710002,PREBUILT_COMPACT,HEX_BONUS_30,100,canonical/canonical,30,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,67.237,true
OSCILLATED,710002,PREBUILT_COMPACT,REQUIRE_HEX_100,100,canonical/canonical,10,10,20,true,false,ALL_QJYNN,41814,true,false,true,2,184,1409,19.119,true
OSCILLATED,710002,PREBUILT_COMPACT,REQUIRE_HEX_110,110,canonical/canonical,10,10,20,true,false,ALL_QJYNN,41814,true,false,true,2,184,1409,26.449,true
OSCILLATED,710002,PREBUILT_COMPACT,REQUIRE_HEX_120,120,canonical/canonical,10,10,20,true,false,ALL_QJYNN,41814,true,false,true,2,184,1409,16.543,true
OSCILLATED,710002,PREBUILT_COMPACT,REQUIRE_HEX_130,130,canonical/canonical,10,10,20,true,false,ALL_QJYNN,41814,true,false,true,2,184,1409,15.233,true
OSCILLATED,710002,PREBUILT_COMPACT,EXACTLY_SIX_100,100,canonical/canonical,10,10,20,false,true,ALL_QJYNN,41814,true,true,true,6,184,1409,12.541,true
OSCILLATED,710002,PREBUILT_COMPACT,EXACTLY_SIX_110,110,canonical/canonical,10,10,20,false,true,ALL_QJYNN,41814,true,true,true,6,184,1409,10.239,true
OSCILLATED,710002,PREBUILT_COMPACT,EXACTLY_SIX_120,120,canonical/canonical,10,10,20,false,true,ALL_QJYNN,41814,true,true,true,6,184,1409,11.076,true
OSCILLATED,710002,PREBUILT_COMPACT,EXACTLY_SIX_130,130,canonical/canonical,10,10,20,false,true,ALL_QJYNN,41814,true,true,true,6,184,1409,15.026,true
OSCILLATED,710002,PREBUILT_COMPACT,LINE_CANONICAL,100,canonical/canonical,10,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,15.974,true
OSCILLATED,710002,PREBUILT_COMPACT,LINE_NONE,100,canonical/canonical,10,0,0,false,false,ALL_QJYNN,41814,false,false,false,,184,1409,90.527,true
OSCILLATED,710002,PREBUILT_COMPACT,LINE_REDUCED,100,canonical/canonical,10,5,10,false,false,ALL_QJYNN,41814,true,true,true,3,184,1409,23.763,true
OSCILLATED,710002,PREBUILT_COMPACT,LINE_INCREASED,100,canonical/canonical,10,15,30,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,14.974,true
OSCILLATED,710002,PREBUILT_COMPACT,COMBO_1_T120_HEX20,120,canonical/canonical,20,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,15.281,true
OSCILLATED,710002,PREBUILT_COMPACT,COMBO_2_T120_LONG15_HEX20,120,15/15,20,10,20,false,false,ALL_QJYNN,41814,true,true,true,2,184,1409,14.258,true
OSCILLATED,710002,PREBUILT_COMPACT,COMBO_3_T120_REQUIRE_HEX,120,canonical/canonical,10,10,20,true,false,ALL_QJYNN,41814,true,false,true,2,184,1409,19.661,true
