player_model,mean_puzzle_score,mean_gold_rate,mean_silver_rate,mean_bronze_rate,mean_hexalink_rate,mean_completion_rate
CASUAL,87.25866666666668,0.18633333333333332,0.7263333333333332,0.08733333333333333,0.44866666666666666,1
REGULAR,111.458,0.8346666666666669,0.1646666666666667,0.0006666666666666666,0.6306666666666667,1
STRONG,121.98766666666667,0.9773333333333334,0.022666666666666672,0,0.7429999999999999,1
EXPERT,128.22833333333335,0.9969999999999999,0.003,0,0.799,1
ORACLE,108.5,1,0,0,1,0
