answer,low_runs,shortlist_size,reference_selected_band,staged_selected_band,same_band,adjacent_band,reference_regular_mean,staged_regular_mean,mean_delta
ABDICATING,250,5,middle,middle,true,true,83.824,83.824,0
ABDUCTIONS,25,5,middle,middle,true,true,82.148,82.63,0.4819999999999993
ABDUCTIONS,50,5,middle,middle,true,true,82.148,82.63,0.4819999999999993
ABDUCTIONS,75,5,middle,middle,true,true,82.148,82.148,0
ABDUCTIONS,100,5,middle,middle,true,true,82.148,82.148,0
ABDUCTIONS,150,5,middle,middle,true,true,82.148,82.148,0
ABDUCTIONS,250,5,middle,middle,true,true,82.148,81.966,-0.18200000000000216
ABHORRENCE,25,5,middle,middle,true,true,81.994,81.994,0
ABHORRENCE,50,5,middle,middle,true,true,81.994,81.994,0
ABHORRENCE,75,5,middle,middle,true,true,81.994,81.87,-0.12399999999999523
ABHORRENCE,100,5,middle,middle,true,true,81.994,81.87,-0.12399999999999523
ABHORRENCE,150,5,middle,middle,true,true,81.994,81.87,-0.12399999999999523
ABHORRENCE,250,5,middle,middle,true,true,81.994,81.87,-0.12399999999999523
ABOLISHING,25,5,middle,harder,false,true,82.948,82.264,-0.6839999999999975
ABOLISHING,50,5,middle,middle,true,true,82.948,82.948,0
ABOLISHING,75,5,middle,middle,true,true,82.948,82.948,0
ABOLISHING,100,5,middle,middle,true,true,82.948,82.948,0
ABOLISHING,150,5,middle,harder,false,true,82.948,82.264,-0.6839999999999975
ABOLISHING,250,5,middle,harder,false,true,82.948,82.264,-0.6839999999999975
ABROGATING,25,5,middle,harder,false,true,81.858,81.31,-0.5480000000000018
ABROGATING,50,5,middle,easier,false,true,81.858,82.982,1.1239999999999952
ABROGATING,75,5,middle,middle,true,true,81.858,81.858,0
ABROGATING,100,5,middle,middle,true,true,81.858,81.858,0
ABROGATING,150,5,middle,middle,true,true,81.858,82.32,0.4619999999999891
ABROGATING,250,5,middle,middle,true,true,81.858,81.67,-0.1880000000000024
ABSOLUTISM,25,5,middle,middle,true,true,81.73,81.73,0
ABSOLUTISM,50,5,middle,middle,true,true,81.73,81.646,-0.08400000000000318
ABSOLUTISM,75,5,middle,middle,true,true,81.73,81.646,-0.08400000000000318
ABSOLUTISM,100,5,middle,middle,true,true,81.73,81.646,-0.08400000000000318
ABSOLUTISM,150,5,middle,harder,false,true,81.73,81.318,-0.41200000000000614
ABSOLUTISM,250,5,middle,middle,true,true,81.73,81.73,0
ABSOLUTIST,25,5,middle,middle,true,true,82.472,82.24,-0.23199999999999932
ABSOLUTIST,50,5,middle,middle,true,true,82.472,82.472,0
ABSOLUTIST,75,5,middle,middle,true,true,82.472,82.472,0
ABSOLUTIST,100,5,middle,harder,false,true,82.472,81.542,-0.9299999999999926
ABSOLUTIST,150,5,middle,middle,true,true,82.472,82.24,-0.23199999999999932
ABSOLUTIST,250,5,middle,middle,true,true,82.472,82.58,0.10800000000000409
ABSORPTION,25,5,middle,middle,true,true,83.268,83.268,0
ABSORPTION,50,5,middle,middle,true,true,83.268,83.268,0
ABSORPTION,75,5,middle,harder,false,true,83.268,82.408,-0.8599999999999994
ABSORPTION,100,5,middle,middle,true,true,83.268,83.074,-0.19400000000000261
ABSORPTION,150,5,middle,middle,true,true,83.268,83.074,-0.19400000000000261
ABSORPTION,250,5,middle,middle,true,true,83.268,83.074,-0.19400000000000261
ABSTAINING,25,5,middle,middle,true,true,82.74,82.74,0
ABSTAINING,50,5,middle,middle,true,true,82.74,81.948,-0.7920000000000016
ABSTAINING,75,5,middle,harder,false,true,82.74,81.36,-1.3799999999999955
ABSTAINING,100,5,middle,middle,true,true,82.74,81.948,-0.7920000000000016
ABSTAINING,150,5,middle,middle,true,true,82.74,82.74,0
ABSTAINING,250,5,middle,middle,true,true,82.74,83.332,0.5919999999999987
ABSTENTION,25,5,middle,easier,false,true,83.014,83.37,0.35600000000000875
ABSTENTION,50,5,middle,easier,false,true,83.014,83.37,0.35600000000000875
ABSTENTION,75,5,middle,easier,false,true,83.014,83.37,0.35600000000000875
ABSTENTION,100,5,middle,easier,false,true,83.014,83.37,0.35600000000000875
ABSTENTION,150,5,middle,easier,false,true,83.014,83.37,0.35600000000000875
ABSTENTION,250,5,middle,easier,false,true,83.014,83.37,0.35600000000000875
ABSTINENCE,25,5,middle,middle,true,true,80.804,80.994,0.18999999999999773
ABSTINENCE,50,5,middle,harder,false,true,80.804,80.292,-0.5120000000000005
ABSTINENCE,75,5,middle,middle,true,true,80.804,80.804,0
ABSTINENCE,100,5,middle,middle,true,true,80.804,80.804,0
ABSTINENCE,150,5,middle,middle,true,true,80.804,80.554,-0.25
ABSTINENCE,250,5,middle,middle,true,true,80.804,80.554,-0.25
ABYSSINIAN,25,5,middle,middle,true,true,82.532,82.574,0.04200000000000159
ABYSSINIAN,50,5,middle,harder,false,true,82.532,80.006,-2.5259999999999962
ABYSSINIAN,75,5,middle,middle,true,true,82.532,82.532,0
ABYSSINIAN,100,5,middle,middle,true,true,82.532,82.532,0
ABYSSINIAN,150,5,middle,harder,false,true,82.532,80.358,-2.1739999999999924
ABYSSINIAN,250,5,middle,middle,true,true,82.532,82.574,0.04200000000000159
