puzzle_id,answer,seed,puzzle_source,player_model,runs,mean_score,median_score,score_std_dev,p10_score,p25_score,p75_score,p90_score,gold_rate,silver_rate,bronze_rate,no_medal_rate,hexalink_rate,mean_hexalink_turn,completion_rate,mean_turns_used,mean_rows_completed,mean_columns_completed,mean_invalid_attempts,mean_hint_use,mean_valid_words,simulation_ms
ADVENTURES#1,ADVENTURES,810007,M7A3_EXISTING_M6_GRID,CASUAL,100,90.06,90,16.37367929749981,69,77,102,110,0.28,0.62,0.1,0,0.56,1.6071428571428572,1,6,0.11,0.11,0.25,0.22,5.75,135.889375
ADVENTURES#1,ADVENTURES,810007,M7A3_EXISTING_M6_GRID,REGULAR,100,111.99,112,13.691031496360802,95,104,120,127,0.82,0.18,0,0,0.8,1.7,1,6,0.43,0.18,0.13,0.43,5.87,316.990678
ADVENTURES#1,ADVENTURES,810007,M7A3_EXISTING_M6_GRID,STRONG,100,126.33,125,11.084664991771197,110,118,135,142,1,0,0,0,0.95,1.2105263157894737,1,6,0.89,0.33,0.01,0.63,5.99,416.162895
ADVENTURES#1,ADVENTURES,810007,M7A3_EXISTING_M6_GRID,EXPERT,100,130.11,130,9.683783174238078,115,120,137,144,1,0,0,0,1,1.01,1,6,0.94,0.35,0.02,0.64,5.98,676.112149
ADVENTURES#1,ADVENTURES,810007,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
AGGRAVATED#1,AGGRAVATED,810008,M7A3_EXISTING_M6_GRID,CASUAL,100,87.7,85,13.922948137822134,73,77,97,108,0.21,0.72,0.07,0,0.41,1.5609756097560976,1,6,0.23,0.06,0.33,0.26,5.67,149.792244
AGGRAVATED#1,AGGRAVATED,810008,M7A3_EXISTING_M6_GRID,REGULAR,100,116.22,115,13.788137193715736,100,107,125,135,0.91,0.09,0,0,0.66,1.4393939393939394,1,6,0.66,0.29,0.14,0.3,5.86,295.466188
AGGRAVATED#1,AGGRAVATED,810008,M7A3_EXISTING_M6_GRID,STRONG,100,129.88,130,13.191120368098249,115,122,137,147,0.99,0.01,0,0,0.9,1.1111111111111112,1,6,0.98,0.34,0.07,0.61,5.93,460.545808
AGGRAVATED#1,AGGRAVATED,810008,M7A3_EXISTING_M6_GRID,EXPERT,100,139.17,140,10.690366663213165,125,130,147,155,1,0,0,0,1,1,1,6,1.19,0.53,0,0.65,6,737.575425
AGGRAVATED#1,AGGRAVATED,810008,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
