puzzle,answer,player_model,accessibility_system,runs,mean_score,median_score,gold_rate,silver_rate,bronze_rate,hexalink_rate,mean_played_word_familiarity,rare_word_dependency,mean_known_moves,mean_noticed_moves,gold_games,mean_gold_word_familiarity,median_gold_word_familiarity,least_familiar_word,gold_familiar_only_50,gold_low_dependency_25,gold_low_dependency_50,gold_low_dependency_75,gold_multiple_low_50,familiarity_source,source_version,source_package_version,source_revision,normalization_version,fallback_used
ABSOLUTELY,ABSOLUTELY,REGULAR,M8_HEURISTIC_BASELINE,500,115.442,115,0.864,0.136,0,0.746,0.5895556780520878,0.18981481481481483,22.502666666666666,23.19333333333333,432,0.5877236046511685,0.62514,westphalia,0.8101851851851852,0,0.18981481481481483,1,0.016203703703703703,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,ABSOLUTELY,STRONG,M8_HEURISTIC_BASELINE,500,129.334,130,0.992,0.008,0,0.904,0.6077822580645117,0.26814516129032256,55.39066666666667,56.91266666666667,496,0.6077157360406047,0.5760000000000001,fertilize,0.7318548387096774,0,0.26814516129032256,1,0.02620967741935484,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,ABSOLUTELY,EXPERT,M8_HEURISTIC_BASELINE,500,139.468,140,0.996,0.004,0,0.998,0.6172402409638482,0.07228915662650602,115.00266666666667,116.21233333333333,498,0.6171734138972738,0.5994,juiciest,0.927710843373494,0,0.07228915662650602,1,0,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,ABSOLUTELY,ORACLE,M8_HEURISTIC_BASELINE,1,105,105,1,0,0,1,,,,,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,ACCESSIBLE,CASUAL,M8_HEURISTIC_BASELINE,500,88.36,89,0.192,0.708,0.1,0.556,0.5725324213836533,0.9583333333333334,5.53,6.334666666666666,96,0.5501968421052624,0.54567,asphyxiate,0.041666666666666664,0.010416666666666666,0.9583333333333334,1,0.4895833333333333,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,ACCESSIBLE,REGULAR,M8_HEURISTIC_BASELINE,500,116.326,115,0.928,0.072,0,0.902,0.5750418067369851,0.39870689655172414,21.179333333333332,22.575,464,0.5739752237177153,0.5436000000000001,ionization,0.6012931034482759,0,0.39870689655172414,1,0.07974137931034483,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,ACCESSIBLE,STRONG,M8_HEURISTIC_BASELINE,500,126.522,125,0.992,0.008,0,0.986,0.5918806451612869,0.4596774193548387,51.788333333333334,54.88666666666666,496,0.5918760487144759,0.5760000000000001,asphyxiate,0.5403225806451613,0.010080645161290322,0.4596774193548387,1,0.11895161290322581,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,ACCESSIBLE,EXPERT,M8_HEURISTIC_BASELINE,500,131.014,130,1,0,0,1,0.6036986461125984,0.302,108.26033333333334,111.214,500,0.6036986461125984,0.5994,asphyxiate,0.698,0.014,0.302,1,0.03,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,ACCESSIBLE,ORACLE,M8_HEURISTIC_BASELINE,1,110,110,1,0,0,1,,,,,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,ACCOUNTING,CASUAL,M8_HEURISTIC_BASELINE,500,82.038,82,0.072,0.79,0.138,0.436,0.588938634453785,0.4166666666666667,5.71,6.325333333333333,36,0.5692875000000002,0.58374,boutiques,0.5833333333333334,0,0.4166666666666667,1,0.08333333333333333,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
