parameter,setting,model,mean_score,gold_rate,hexalink_rate,mean_familiarity,familiarity_source,source_version,source_package_version,source_revision,normalization_version,fallback_used
temperatureMultiplier,0.75,REGULAR,84.28,0.11,0.22,0.3127234559728995,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
temperatureMultiplier,1,REGULAR,86.84,0.17,0.31,0.30115838892708574,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
temperatureMultiplier,1.25,REGULAR,85.2,0.15,0.26,0.29751004653669244,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
