puzzle,player_model,accessibility_system,gold_games,mean_gold_word_familiarity,median_gold_word_familiarity,least_familiar_word,gold_familiar_only_50,gold_low_dependency_25,gold_low_dependency_50,gold_low_dependency_75,gold_multiple_low_50,familiarity_source,source_version,source_package_version,source_revision,normalization_version,fallback_used
ACCESSIBLE,STRONG,M8_HEURISTIC_BASELINE,496,0.5918760487144759,0.5760000000000001,asphyxiate,0.5403225806451613,0.010080645161290322,0.4596774193548387,1,0.11895161290322581,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,EXPERT,M8_HEURISTIC_BASELINE,500,0.6036986461125984,0.5994,asphyxiate,0.698,0.014,0.302,1,0.03,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,ORACLE,M8_HEURISTIC_BASELINE,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,CASUAL,M8_HEURISTIC_BASELINE,36,0.5692875000000002,0.58374,boutiques,0.5833333333333334,0,0.4166666666666667,1,0.08333333333333333,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,REGULAR,M8_HEURISTIC_BASELINE,361,0.5912038165817549,0.62514,inadequate,0.6371191135734072,0,0.3628808864265928,1,0.030470914127423823,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,STRONG,M8_HEURISTIC_BASELINE,488,0.61286861063465,0.6192,inadequate,0.5450819672131147,0,0.45491803278688525,1,0.04918032786885246,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,EXPERT,M8_HEURISTIC_BASELINE,497,0.6246220609017462,0.5994,exhibited,0.5633802816901409,0,0.43661971830985913,1,0.02012072434607646,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,ORACLE,M8_HEURISTIC_BASELINE,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,CASUAL,M8_HEURISTIC_BASELINE,84,0.5608422754491017,0.58374,exactitude,0.03571428571428571,0,0.9642857142857143,1,0.38095238095238093,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,REGULAR,M8_HEURISTIC_BASELINE,420,0.5816718922155719,0.62514,exactitude,0.6642857142857143,0,0.3357142857142857,1,0.03571428571428571,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,STRONG,M8_HEURISTIC_BASELINE,496,0.5973616216216143,0.5760000000000001,excretion,0.5100806451612904,0,0.4899193548387097,1,0.0967741935483871,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,EXPERT,M8_HEURISTIC_BASELINE,500,0.6131041452420634,0.5994,excitation,0.65,0,0.35,1,0.054,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,ORACLE,M8_HEURISTIC_BASELINE,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,CASUAL,M8_HEURISTIC_BASELINE,90,0.5620092578849708,0.58374,aquitaine,0.06666666666666667,0,0.9333333333333333,1,0.3,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,REGULAR,M8_HEURISTIC_BASELINE,448,0.5825124962518776,0.62514,anxiously,0.6004464285714286,0,0.39955357142857145,1,0.049107142857142856,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,STRONG,M8_HEURISTIC_BASELINE,497,0.5952858589267583,0.5760000000000001,anxiously,0.448692152917505,0,0.5513078470824949,1,0.08651911468812877,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,EXPERT,M8_HEURISTIC_BASELINE,499,0.6039977466442908,0.5994,anxiously,0.6312625250501002,0,0.3687374749498998,1,0.026052104208416832,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,ORACLE,M8_HEURISTIC_BASELINE,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,CASUAL,M8_HEURISTIC_BASELINE,53,0.5624436792452832,0.58374,equitation,0.05660377358490566,0.018867924528301886,0.9433962264150944,1,0.3018867924528302,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,REGULAR,M8_HEURISTIC_BASELINE,437,0.5816671011149606,0.62514,epitomized,0.7116704805491991,0,0.28832951945080093,1,0.02517162471395881,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,STRONG,M8_HEURISTIC_BASELINE,499,0.5986608403361315,0.5760000000000001,equitation,0.6312625250501002,0,0.3687374749498998,1,0.022044088176352707,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,EXPERT,M8_HEURISTIC_BASELINE,500,0.6081980113636286,0.5994,homogenize,0.784,0,0.216,1,0.006,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,ORACLE,M8_HEURISTIC_BASELINE,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,CASUAL,M8_HEURISTIC_BASELINE,170,0.5533559643916902,0.58374,journalese,0.01764705882352941,0,0.9823529411764705,1,0.4411764705882353,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,REGULAR,M8_HEURISTIC_BASELINE,473,0.5693733582887689,0.5436000000000001,obsequious,0.7145877378435518,0,0.2854122621564482,1,0.03171247357293869,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,STRONG,M8_HEURISTIC_BASELINE,498,0.5944828330522718,0.5760000000000001,obsequious,0.7128514056224899,0,0.28714859437751006,1,0.02208835341365462,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,EXPERT,M8_HEURISTIC_BASELINE,500,0.6148814909638521,0.5994,obsequious,0.828,0,0.172,1,0.008,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,ORACLE,M8_HEURISTIC_BASELINE,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,CASUAL,M81_FREQUENCY_MODEL,16,0.1644618503524959,0.15171532748182243,carouse,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,REGULAR,M81_FREQUENCY_MODEL,54,0.2909099121405104,0.2524005014806449,bonier,0,0.9814814814814815,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,STRONG,M81_FREQUENCY_MODEL,108,0.48591643507196036,0.4866210684126981,zairian,0.009259259259259259,0.09259259259259259,0.9907407407407407,1,0.9537037037037037,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,EXPERT,M81_FREQUENCY_MODEL,273,0.6072593830418588,0.6070521488379135,gaudier,0.18315018315018314,0,0.8168498168498168,1,0.42857142857142855,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,ORACLE,M81_FREQUENCY_MODEL,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,CASUAL,M81_FREQUENCY_MODEL,3,0.1347308245468469,0.10514938171370686,lawyered,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,REGULAR,M81_FREQUENCY_MODEL,23,0.27043632349937347,0.25349052771658204,achoo,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,STRONG,M81_FREQUENCY_MODEL,60,0.47598444532452755,0.49329339634387614,opaline,0,0.5166666666666667,1,1,0.95,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,EXPERT,M81_FREQUENCY_MODEL,173,0.6166058179217285,0.6227631865277482,aerostats,0.1676300578034682,0,0.8323699421965318,1,0.3583815028901734,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,ORACLE,M81_FREQUENCY_MODEL,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,CASUAL,M81_FREQUENCY_MODEL,9,0.1584127569232432,0.14849851879406373,paglia,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,REGULAR,M81_FREQUENCY_MODEL,52,0.2921227667893786,0.2556816169426712,cowslip,0,0.9807692307692307,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,STRONG,M81_FREQUENCY_MODEL,133,0.5019971610581092,0.51,carouse,0,0.11278195488721804,1,1,0.9398496240601504,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,EXPERT,M81_FREQUENCY_MODEL,391,0.6481081733425069,0.6783603051678547,anorthite,0.39641943734015345,0.0025575447570332483,0.6035805626598465,1,0.1867007672634271,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,ORACLE,M81_FREQUENCY_MODEL,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,CASUAL,M81_FREQUENCY_MODEL,11,0.16809458509379832,0.13162424955618257,garbed,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,REGULAR,M81_FREQUENCY_MODEL,31,0.2875466151815821,0.2491525789301232,jocose,0,0.967741935483871,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,STRONG,M81_FREQUENCY_MODEL,93,0.4835145213578819,0.49997308848190264,jocose,0,0.17204301075268819,1,1,0.8602150537634409,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
