puzzle_id,setting,mean_score,median_score,gold_rate,hexalink_rate,mean_known_moves,mean_noticed_moves,mean_played_familiarity,familiarity_source,source_version,normalization_version,fallback_used
ADJUSTABLE,cap_low,85.07,83,0.15,0.24,0.22833333333333333,8.096666666666666,0.2911516471755113,wordfreq,v3.2,zipf-linear-v1,false
ADJUSTABLE,cap_high,84.17,85,0.14,0.29,0.23666666666666666,8.265,0.2877790093657807,wordfreq,v3.2,zipf-linear-v1,false
ADJUSTABLE,temperature_low,84.49,82,0.14,0.18,0.23166666666666666,8.146666666666667,0.2934617721087733,wordfreq,v3.2,zipf-linear-v1,false
ADJUSTABLE,temperature_high,84.04,84,0.15,0.22,0.2683333333333333,8.043333333333333,0.2915569926817636,wordfreq,v3.2,zipf-linear-v1,false
ADJUSTABLE,familiarity_restrictive,85.6,85,0.15,0.36,0.18833333333333332,6.246666666666667,0.21003481468412444,wordfreq,v3.2,zipf-linear-v1,false
ADJUSTABLE,familiarity_permissive,85.09,85,0.12,0.26,0.85,10.44,0.3847085800763746,wordfreq,v3.2,zipf-linear-v1,false
ACQUITTING,baseline,84.62,84,0.1,0.26,0.315,8.311666666666667,0.2980673320267725,wordfreq,v3.2,zipf-linear-v1,false
ACQUITTING,cap_low,82.54,81,0.06,0.22,0.315,8.155,0.3033595951224122,wordfreq,v3.2,zipf-linear-v1,false
ACQUITTING,cap_high,81.54,81,0.06,0.16,0.32166666666666666,8.316666666666666,0.30551923802298303,wordfreq,v3.2,zipf-linear-v1,false
ACQUITTING,temperature_low,84,83,0.09,0.23,0.315,8.421666666666667,0.2998193980637137,wordfreq,v3.2,zipf-linear-v1,false
ACQUITTING,temperature_high,84.28,82,0.15,0.22,0.31166666666666665,8.403333333333334,0.2930199569561644,wordfreq,v3.2,zipf-linear-v1,false
ACQUITTING,familiarity_restrictive,82.84,82,0.04,0.23,0.12333333333333334,6.253333333333333,0.2220111409594609,wordfreq,v3.2,zipf-linear-v1,false
ACQUITTING,familiarity_permissive,84.17,84,0.08,0.24,1.02,10.868333333333334,0.40133184072843514,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,baseline,83.49,82,0.13,0.28,0.27666666666666667,8.265,0.30602059118345,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,cap_low,84.49,83,0.11,0.3,0.25833333333333336,8.306666666666667,0.3095630318056597,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,cap_high,84,83,0.1,0.29,0.26166666666666666,8.305,0.3037612422797161,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,temperature_low,82.63,83,0.05,0.23,0.24333333333333335,8.325,0.306059117736403,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,temperature_high,84.55,85,0.12,0.31,0.3016666666666667,8.393333333333333,0.30698989510886815,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,familiarity_restrictive,81.54,82,0.07,0.24,0.16666666666666666,6.346666666666667,0.23209515649242238,wordfreq,v3.2,zipf-linear-v1,false
ACCESSIBLE,familiarity_permissive,85.68,85,0.17,0.32,1.1383333333333334,10.833333333333334,0.4104598335954985,wordfreq,v3.2,zipf-linear-v1,false
ADMONITORY,baseline,86.25,85,0.09,0.24,0.47,8.363333333333333,0.3064105621713827,wordfreq,v3.2,zipf-linear-v1,false
ADMONITORY,cap_low,83.11,83,0.07,0.24,0.44166666666666665,8.386666666666667,0.310054286684092,wordfreq,v3.2,zipf-linear-v1,false
ADMONITORY,cap_high,84.24,82,0.09,0.23,0.4,8.126666666666667,0.30557554058644765,wordfreq,v3.2,zipf-linear-v1,false
ADMONITORY,temperature_low,84.01,83,0.09,0.15,0.43166666666666664,8.346666666666666,0.3154650684742804,wordfreq,v3.2,zipf-linear-v1,false
ADMONITORY,temperature_high,85.16,84,0.11,0.17,0.43,8.406666666666666,0.30108717418855546,wordfreq,v3.2,zipf-linear-v1,false
ADMONITORY,familiarity_restrictive,84.5,84,0.07,0.32,0.245,6.291666666666667,0.22656684277860056,wordfreq,v3.2,zipf-linear-v1,false
ADMONITORY,familiarity_permissive,83.19,82,0.07,0.13,1.3116666666666668,10.721666666666666,0.4093991326561876,wordfreq,v3.2,zipf-linear-v1,false
ADJECTIVES,baseline,86.09,85,0.15,0.31,0.3233333333333333,8.445,0.3076179127240845,wordfreq,v3.2,zipf-linear-v1,false
ADJECTIVES,cap_low,85.16,86,0.08,0.27,0.29333333333333333,8.41,0.30911333925512324,wordfreq,v3.2,zipf-linear-v1,false
ADJECTIVES,cap_high,82.62,82,0.08,0.25,0.25833333333333336,8.468333333333334,0.30564884576083723,wordfreq,v3.2,zipf-linear-v1,false
ADJECTIVES,temperature_low,84.51,84,0.14,0.22,0.2966666666666667,8.541666666666666,0.32085555417428435,wordfreq,v3.2,zipf-linear-v1,false
ADJECTIVES,temperature_high,86.01,85,0.09,0.28,0.285,8.501666666666667,0.30363483216694076,wordfreq,v3.2,zipf-linear-v1,false
ADJECTIVES,familiarity_restrictive,84.45,85,0.06,0.33,0.185,6.433333333333334,0.22861749506361878,wordfreq,v3.2,zipf-linear-v1,false
ADJECTIVES,familiarity_permissive,83.94,81,0.13,0.22,1.045,11.116666666666667,0.42091172209810546,wordfreq,v3.2,zipf-linear-v1,false
ABATEMENTS,baseline,84.83,84,0.08,0.19,0.30666666666666664,8.151666666666667,0.2899213000208805,wordfreq,v3.2,zipf-linear-v1,false
ABATEMENTS,cap_low,85,84,0.11,0.16,0.31166666666666665,8.121666666666666,0.29340333857396833,wordfreq,v3.2,zipf-linear-v1,false
ABATEMENTS,cap_high,84.68,83,0.12,0.18,0.3,8.096666666666666,0.29164946895430693,wordfreq,v3.2,zipf-linear-v1,false
ABATEMENTS,temperature_low,85.72,83,0.1,0.17,0.29,7.985,0.2917577982623686,wordfreq,v3.2,zipf-linear-v1,false
ABATEMENTS,temperature_high,85.97,86,0.12,0.2,0.2683333333333333,7.901666666666666,0.2857004520566337,wordfreq,v3.2,zipf-linear-v1,false
ABATEMENTS,familiarity_restrictive,84.21,85,0.08,0.25,0.14166666666666666,6.07,0.2111952078867999,wordfreq,v3.2,zipf-linear-v1,false
ABATEMENTS,familiarity_permissive,84.14,84,0.09,0.16,0.8716666666666667,10.426666666666666,0.39457813808465864,wordfreq,v3.2,zipf-linear-v1,false
ACROBATICS,baseline,84.42,84,0.12,0.27,0.2683333333333333,8.228333333333333,0.3014572522565967,wordfreq,v3.2,zipf-linear-v1,false
ACROBATICS,cap_low,85.66,85,0.15,0.27,0.25333333333333335,8.268333333333333,0.29009964961015594,wordfreq,v3.2,zipf-linear-v1,false
ACROBATICS,cap_high,85.96,85,0.1,0.32,0.30666666666666664,8.065,0.28790085397723153,wordfreq,v3.2,zipf-linear-v1,false
ACROBATICS,temperature_low,87.01,85,0.17,0.29,0.265,8.148333333333333,0.28572399085817546,wordfreq,v3.2,zipf-linear-v1,false
ACROBATICS,temperature_high,85.33,84,0.1,0.23,0.2866666666666667,8.218333333333334,0.28521318712982535,wordfreq,v3.2,zipf-linear-v1,false
ACROBATICS,familiarity_restrictive,83.47,82,0.09,0.26,0.17,6.12,0.20946227855697205,wordfreq,v3.2,zipf-linear-v1,false
ACROBATICS,familiarity_permissive,83.51,84,0.1,0.26,0.7783333333333333,10.708333333333334,0.3849444418667395,wordfreq,v3.2,zipf-linear-v1,false
ACCUSATORY,baseline,82.85,83,0.08,0.27,0.26166666666666666,8.21,0.3028979346725987,wordfreq,v3.2,zipf-linear-v1,false
ACCUSATORY,cap_low,82.27,81,0.07,0.22,0.24333333333333335,8.153333333333334,0.29866880118931577,wordfreq,v3.2,zipf-linear-v1,false
ACCUSATORY,cap_high,82.36,80,0.1,0.23,0.245,8,0.30705340960978666,wordfreq,v3.2,zipf-linear-v1,false
ACCUSATORY,temperature_low,81.34,80,0.13,0.21,0.25666666666666665,8.385,0.3106674035112953,wordfreq,v3.2,zipf-linear-v1,false
ACCUSATORY,temperature_high,81.76,80,0.07,0.17,0.25166666666666665,8.348333333333333,0.3043344062892534,wordfreq,v3.2,zipf-linear-v1,false
ACCUSATORY,familiarity_restrictive,80.95,80,0.05,0.21,0.11666666666666667,6.316666666666666,0.2222754428808448,wordfreq,v3.2,zipf-linear-v1,false
ACCUSATORY,familiarity_permissive,81.7,82,0.08,0.21,0.9616666666666667,10.666666666666666,0.40144465174731814,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTANT,baseline,84.24,82,0.1,0.25,0.37166666666666665,8.26,0.3140593373654396,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTANT,cap_low,83.95,82,0.07,0.24,0.44,8.35,0.3182664058887251,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTANT,cap_high,83.8,83,0.1,0.21,0.38333333333333336,8.516666666666667,0.3126489278053258,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTANT,temperature_low,83.51,81,0.14,0.29,0.4033333333333333,8.308333333333334,0.3181768632810913,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTANT,temperature_high,82.25,82,0.07,0.25,0.42333333333333334,8.343333333333334,0.307448104209535,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTANT,familiarity_restrictive,80.14,79,0.07,0.2,0.32166666666666666,6.446666666666666,0.2400635338433287,wordfreq,v3.2,zipf-linear-v1,false
ACCOUNTANT,familiarity_permissive,84.25,81,0.13,0.15,1.185,10.953333333333333,0.4125707818626744,wordfreq,v3.2,zipf-linear-v1,false
ABSORPTION,baseline,83.43,82,0.16,0.27,0.31333333333333335,8.228333333333333,0.30025003988893967,wordfreq,v3.2,zipf-linear-v1,false
ABSORPTION,cap_low,80.88,80,0.12,0.3,0.3016666666666667,8.276666666666667,0.30256911689193383,wordfreq,v3.2,zipf-linear-v1,false
ABSORPTION,cap_high,83.03,82,0.08,0.29,0.32666666666666666,8.33,0.3104233305338408,wordfreq,v3.2,zipf-linear-v1,false
ABSORPTION,temperature_low,84.27,85,0.14,0.3,0.32666666666666666,8.461666666666666,0.3107503072115828,wordfreq,v3.2,zipf-linear-v1,false
ABSORPTION,temperature_high,80.36,80,0.05,0.26,0.295,8.145,0.3027735698164038,wordfreq,v3.2,zipf-linear-v1,false
ABSORPTION,familiarity_restrictive,81.82,80,0.1,0.23,0.25666666666666665,6.318333333333333,0.22731846063600386,wordfreq,v3.2,zipf-linear-v1,false
ABSORPTION,familiarity_permissive,82.22,83,0.11,0.26,0.85,10.696666666666667,0.3964616027238519,wordfreq,v3.2,zipf-linear-v1,false
ACTIVATING,baseline,82.83,82,0.14,0.26,0.17166666666666666,7.99,0.28568968501973585,wordfreq,v3.2,zipf-linear-v1,false
ACTIVATING,cap_low,84.01,82,0.1,0.24,0.17666666666666667,7.9783333333333335,0.2826723524543544,wordfreq,v3.2,zipf-linear-v1,false
ACTIVATING,cap_high,82.03,80,0.09,0.31,0.21333333333333335,7.9383333333333335,0.2898260888783617,wordfreq,v3.2,zipf-linear-v1,false
ACTIVATING,temperature_low,83.38,82,0.11,0.23,0.185,8.505,0.29506626989147966,wordfreq,v3.2,zipf-linear-v1,false
ACTIVATING,temperature_high,81.22,81,0.08,0.18,0.23,8.145,0.2883524267413452,wordfreq,v3.2,zipf-linear-v1,false
ACTIVATING,familiarity_restrictive,82.34,82,0.07,0.28,0.13333333333333333,5.985,0.20272144827280889,wordfreq,v3.2,zipf-linear-v1,false
ACTIVATING,familiarity_permissive,82.65,81,0.09,0.25,0.775,10.736666666666666,0.3924597676888682,wordfreq,v3.2,zipf-linear-v1,false
ADMINISTER,baseline,83.42,84,0.08,0.18,0.415,8.228333333333333,0.3021870764275168,wordfreq,v3.2,zipf-linear-v1,false
ADMINISTER,cap_low,83.91,82,0.09,0.27,0.41333333333333333,8.173333333333334,0.30111344043401134,wordfreq,v3.2,zipf-linear-v1,false
ADMINISTER,cap_high,81.17,80,0.07,0.26,0.41833333333333333,8.061666666666667,0.3102090260148906,wordfreq,v3.2,zipf-linear-v1,false
ADMINISTER,temperature_low,83.55,82,0.1,0.19,0.43666666666666665,8.128333333333334,0.30799464459284703,wordfreq,v3.2,zipf-linear-v1,false
ADMINISTER,temperature_high,80.36,79,0.07,0.17,0.3883333333333333,8.191666666666666,0.29975577173575074,wordfreq,v3.2,zipf-linear-v1,false
ADMINISTER,familiarity_restrictive,83.9,84,0.09,0.31,0.26,6.221666666666667,0.2379610012293041,wordfreq,v3.2,zipf-linear-v1,false
ADMINISTER,familiarity_permissive,84.48,83,0.11,0.2,1.1266666666666667,10.755,0.407634003242775,wordfreq,v3.2,zipf-linear-v1,false
ABSTINENCE,baseline,81.76,82,0.09,0.2,0.16333333333333333,7.993333333333333,0.2908663397715854,wordfreq,v3.2,zipf-linear-v1,false
ABSTINENCE,cap_low,79.64,79,0.04,0.15,0.175,8.003333333333334,0.293483970307519,wordfreq,v3.2,zipf-linear-v1,false
ABSTINENCE,cap_high,82.26,82,0.09,0.21,0.15833333333333333,8.303333333333333,0.28939030350672795,wordfreq,v3.2,zipf-linear-v1,false
ABSTINENCE,temperature_low,82.05,81,0.07,0.27,0.18,8.186666666666667,0.28940565470804475,wordfreq,v3.2,zipf-linear-v1,false
ABSTINENCE,temperature_high,81.23,79,0.07,0.25,0.18166666666666667,8.153333333333334,0.2908706182241856,wordfreq,v3.2,zipf-linear-v1,false
ABSTINENCE,familiarity_restrictive,78.55,79,0.02,0.26,0.095,6.21,0.21399366066032866,wordfreq,v3.2,zipf-linear-v1,false
ABSTINENCE,familiarity_permissive,81.58,82,0.07,0.28,0.7583333333333333,10.678333333333333,0.3901539689744154,wordfreq,v3.2,zipf-linear-v1,false
ADMONISHED,baseline,81.04,80,0.05,0.19,0.23,8.375,0.3103707967726282,wordfreq,v3.2,zipf-linear-v1,false
ADMONISHED,cap_low,81.12,80,0.06,0.18,0.2833333333333333,8.485,0.3027914711385397,wordfreq,v3.2,zipf-linear-v1,false
ADMONISHED,cap_high,84.02,81,0.11,0.29,0.2733333333333333,8.371666666666666,0.2980874935443399,wordfreq,v3.2,zipf-linear-v1,false
ADMONISHED,temperature_low,82.6,81,0.09,0.21,0.23833333333333334,8.341666666666667,0.3055674473613622,wordfreq,v3.2,zipf-linear-v1,false
ADMONISHED,temperature_high,82.7,80,0.07,0.21,0.29,8.586666666666666,0.3107479373825403,wordfreq,v3.2,zipf-linear-v1,false
ADMONISHED,familiarity_restrictive,81.11,80,0.07,0.23,0.14333333333333334,6.37,0.22412080025277267,wordfreq,v3.2,zipf-linear-v1,false
ADMONISHED,familiarity_permissive,82.52,82,0.1,0.19,1.1833333333333333,11.09,0.4109132847378826,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,baseline,81.61,79,0.09,0.26,0.255,8.213333333333333,0.30327148045020386,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,cap_low,82.53,80,0.12,0.27,0.275,8.188333333333333,0.30316151430975646,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,cap_high,81.9,80,0.09,0.28,0.31833333333333336,8.376666666666667,0.3085720974812333,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,temperature_low,81.73,81,0.04,0.3,0.3333333333333333,8.451666666666666,0.3188236436286218,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,temperature_high,82,80,0.07,0.24,0.325,8.21,0.3014414790054258,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,familiarity_restrictive,81.98,81,0.08,0.3,0.20833333333333334,6.458333333333333,0.23798171739346333,wordfreq,v3.2,zipf-linear-v1,false
ADVENTURES,familiarity_permissive,82.78,81,0.1,0.29,0.8433333333333334,10.646666666666667,0.39503089045908846,wordfreq,v3.2,zipf-linear-v1,false
